X,Y,OBJECTID_1,UniqueID,CompAddNum,CompStreetName,CompSubAddress,CompCityStateZip,StreetAddress,MainAddress,CompleteAddress,FeatureType,Alternate,Residential,Mailable,MainPoint,Anomaly,AnomalyType,Status,Authority,Landmark,ParcelNumber,ProprietaryID,AddNumPre,AddNum,AddNumPost,StreetPreDir,ImpliedPreDir,StreetPreType,StreetName,StreetPostType,StreetPostDir,StreetPostMod,SubAddType1,SubNumber1,SubAddType2,SubNumber2,SubAddType3,SubNumber3,City,ZipCode,ZipPlus4,UIUC,StatePlaneX,StatePlaneY
-88.2463849554651,40.107428058972,4741,36144,3,O'Neil Ct,,"Champaign, IL 61820",3 O'Neil Ct,"3 O'Neil Ct, Champaign, IL 61820","3 O'Neil Ct, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013252019,M4734,,3,,,,,O'Neil,Court,,,,,,,,,Champaign,61820,,,1008572.51056166,1253052.44996224
-88.2462068986702,40.107431946466,4742,36145,5,O'Neil Ct,,"Champaign, IL 61820",5 O'Neil Ct,"5 O'Neil Ct, Champaign, IL 61820","5 O'Neil Ct, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013252020,M4735,,5,,,,,O'Neil,Court,,,,,,,,,Champaign,61820,,,1008622.31459591,1253053.91485433
-88.246055043725,40.1074237895523,4743,36146,7,O'Neil Ct,,"Champaign, IL 61820",7 O'Neil Ct,"7 O'Neil Ct, Champaign, IL 61820","7 O'Neil Ct, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013252021,M4736,,7,,,,,O'Neil,Court,,,,,,,,,Champaign,61820,,,1008664.79384166,1253050.98507015
-88.24537923216,40.1087641566686,4744,36147,703,S Randolph St,,"Champaign, IL 61820",703 S Randolph St,"703 S Randolph St, Champaign, IL 61820","703 S Randolph St, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013252023,M4737,,703,,South,South,,Randolph,Street,,,,,,,,,Champaign,61820,,,1008853.34661416,1253539.44537932
-88.2458144477478,40.10853921019,4745,36148,8,Villard Ct,,"Champaign, IL 61820",8 Villard Ct,"8 Villard Ct, Champaign, IL 61820","8 Villard Ct, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013252025,M4738,,8,,,,,Villard,Court,,,,,,,,,Champaign,61820,,,1008731.692658,1253457.3809109
-88.2457077349971,40.1085350208548,4746,36149,6,Villard Ct,,"Champaign, IL 61820",6 Villard Ct,"6 Villard Ct, Champaign, IL 61820","6 Villard Ct, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013252026,M4739,,6,,,,,Villard,Court,,,,,,,,,Champaign,61820,,,1008761.542992,1253455.88419474
-88.2454640623766,40.1085363357952,4747,36150,4,Villard Ct,,"Champaign, IL 61820",4 Villard Ct,"4 Villard Ct, Champaign, IL 61820","4 Villard Ct, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013252027,M4740,,4,,,,,Villard,Court,,,,,,,,,Champaign,61820,,,1008829.70066408,1253456.43045349
-88.2453390889443,40.1085334372721,4748,36151,2,Villard Ct,,"Champaign, IL 61820",2 Villard Ct,"2 Villard Ct, Champaign, IL 61820","2 Villard Ct, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013252028,M4741,,2,,,,,Villard,Court,,,,,,,,,Champaign,61820,,,1008864.65827133,1253455.40913007
-88.2458341288081,40.1083786849637,4749,36152,7,Villard Ct,,"Champaign, IL 61820",7 Villard Ct,"7 Villard Ct, Champaign, IL 61820","7 Villard Ct, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013252029,M4742,,7,,,,,Villard,Court,,,,,,,,,Champaign,61820,,,1008726.24516233,1253398.8987444
-88.2456978345645,40.1083748434258,4750,36153,5,Villard Ct,,"Champaign, IL 61820",5 Villard Ct,"5 Villard Ct, Champaign, IL 61820","5 Villard Ct, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013252030,M4743,,5,,,,,Villard,Court,,,,,,,,,Champaign,61820,,,1008764.369758,1253397.53687049
-88.2454519126385,40.1082450642917,4751,36154,709,S Randolph St,,"Champaign, IL 61820",709 S Randolph St,"709 S Randolph St, Champaign, IL 61820","709 S Randolph St, Champaign, IL 61820",Standard,P,Y,N,Y,N,,Active,Champaign,,432013252033,M4744,,709,,South,South,,Randolph,Street,,,,,,,,,Champaign,61820,,,1008833.20393791,1253350.32830349
-88.2465235858581,40.1070099204933,4752,36155,728,S State St,,"Champaign, IL 61820",728 S State St,"728 S State St, Champaign, IL 61820","728 S State St, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013252039,M4745,,728,,South,South,,State,Street,,,,,,,,,Champaign,61820,,,1008533.88203,1252900.09101499
-88.2462916487645,40.1070325340617,4753,36156,210,William St,,"Champaign, IL 61820",210 William St,"210 William St, Champaign, IL 61820","210 William St, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013252040,M4746,,210,,,,,William,Street,,,,,,,,,Champaign,61820,,,1008598.75099475,1252908.39217949
-88.2460122468227,40.1070272199143,4754,36157,208,William St,,"Champaign, IL 61820",208 William St,"208 William St, Champaign, IL 61820","208 William St, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013252041,M4747,,208,,,,,William,Street,,,,,,,,,Champaign,61820,,,1008676.90667833,1252906.53293124
-88.2457894322558,40.1070270517223,4755,36158,206,William St,,"Champaign, IL 61820",206 William St,"206 William St, Champaign, IL 61820","206 William St, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013252042,M4748,,206,,,,,William,Street,,,,,,,,,Champaign,61820,,,1008739.23201299,1252906.53293124
-88.2455804281932,40.1070163004059,4756,36159,204,William St,,"Champaign, IL 61820",204 William St,"204 William St, Champaign, IL 61820","204 William St, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013252043,M4749,,204,,,,,William,Street,,,,,,,,,Champaign,61820,,,1008797.69810341,1252902.67401507
-88.245456605377,40.1083691398236,4757,36160,3,Villard Ct,,"Champaign, IL 61820",3 Villard Ct,"3 Villard Ct, Champaign, IL 61820","3 Villard Ct, Champaign, IL 61820",Standard,P,Y,Y,Y,N,,Active,Champaign,,432013252047,M4750,,3,,,,,Villard,Court,,,,,,,,,Champaign,61820,,,1008831.84665716,1253395.52571966
-88.244820865317,40.1075449553162,4758,36161,718,S Randolph St,,"Champaign, IL 61820",718 S Randolph St,"718 S Randolph St, Champaign, IL 61820","718 S Randolph St, Champaign, IL 61820",Vacant Land,P,Y,N,Y,N,,Active,Champaign,,432013253005,M4751,,718,,South,South,,Randolph,Street,,,,,,,,,Champaign,61820,,,1009009.96998858,1253095.46496807
-88.2442632875106,40.1080175463504,4759,36162,709,S Neil St,,"Champaign, IL 61820",709 S Neil St,"709 S Neil St, Champaign, IL 61820","709 S Neil St, Champaign, IL 61820",Standard,P,N,Y,Y,N,,Active,Champaign,,432013253011,M4752,,709,,South,South,,Neil,Street,,,,,,,,,Champaign,61820,,,1009165.76101558,1253267.77794366
-88.2436455011077,40.1080463804868,4760,36163,711,S Neil St,,"Champaign, IL 61820",711 S Neil St,"711 S Neil St, Champaign, IL 61820","711 S Neil St, Champaign, IL 61820",Standard,P,N,Y,Y,N,,Active,Champaign,,432013253021,M4753,,711,,South,South,,Neil,Street,,,,,,,,,Champaign,61820,,,1009338.55397708,1253278.45541574
-88.2439337824879,40.1076996274443,4761,36164,715,S Neil St,,"Champaign, IL 61820",715 S Neil St,"715 S Neil St, Champaign, IL 61820","715 S Neil St, Champaign, IL 61820",Standard,P,N,Y,Y,N,,Active,Champaign,,432013253014,M4754,,715,,South,South,,Neil,Street,,,,,,,,,Champaign,61820,,,1009258.04462366,1253152.05770265
-88.2438531229248,40.1071018874667,4762,36165,723,S Neil St,,"Champaign, IL 61820",723 S Neil St,"723 S Neil St, Champaign, IL 61820","723 S Neil St, Champaign, IL 61820",Standard,P,N,Y,Y,N,,Active,Champaign,,432013253016,M4755,,723,,South,South,,Neil,Street,,,,,,,,,Champaign,61820,,,1009280.825418,1252934.33340057
-88.2439160269005,40.1083938231129,4763,36166,703,S Neil St,,"Champaign, IL 61820",703 S Neil St,"703 S Neil St, Champaign, IL 61820","703 S Neil St, Champaign, IL 61820",Standard,P,N,Y,Y,N,,Active,Champaign,,432013253017,M4756,,703,,South,South,,Neil,Street,,,,,,,,,Champaign,61820,,,1009262.75688458,1253404.94696066
-88.2439235095652,40.1075468175725,4764,36167,717,S Neil St,,"Champaign, IL 61820",717 S Neil St,"717 S Neil St, Champaign, IL 61820","717 S Neil St, Champaign, IL 61820",Standard,P,N,Y,Y,N,,Active,Champaign,,432013253019,M4757,,717,,South,South,,Neil,Street,,,,,,,,,Champaign,61820,,,1009260.97407975,1253096.39442816
-88.2438466018039,40.1073979784277,4765,36168,719,S Neil St,,"Champaign, IL 61820",719 S Neil St,"719 S Neil St, Champaign, IL 61820","719 S Neil St, Champaign, IL 61820",Standard,P,N,Y,Y,N,,Active,Champaign,,432013253020,M4758,,719,,South,South,,Neil,Street,,,,,,,,,Champaign,61820,,,1009282.54096575,1253042.19637382
